reclat,reclon,
42.97327, -78.83209,
42.94323, -78.81344,
40.74493, -73.98904,
40.78032, -73.96193,
42.97329, -78.83208,
42.94325, -78.81343,
40.74507, -73.98868,
40.78034, -73.96197,
42.97330, -78.83212,
42.94322, -78.81343,
40.74518, -73.98839,
40.78037, -73.96202,
42.97330, -78.83214,
42.94324, -78.81342,
40.74527, -73.98818,
40.78038, -73.96204,
42.97331, -78.83217,
42.94322, -78.81340,
40.74533, -73.98801,
40.78040, -73.96207,
42.97331, -78.83218,
42.94325, -78.81340,
40.74538, -73.98787,
40.78040, -73.96209,
42.97331, -78.83218,
42.94322, -78.81344,
40.74542, -73.98777,
40.78041, -73.96212,
42.97322, -78.83204,
42.94319, -78.81343,
40.74545, -73.98769,
40.78041, -73.96215,
42.97320, -78.83204,
42.94321, -78.81343,
40.74548, -73.98763,
40.78039, -73.96218,
42.97319, -78.83203,
42.94323, -78.81342,
40.74550, -73.98758,
40.78037, -73.96218,
42.97319, -78.83205,
42.94327, -78.81340,
40.74551, -73.98755,
40.78034, -73.96219,
42.97318, -78.83207,
42.94325, -78.81342,
40.74552, -73.98752,
40.78031, -73.96220,
42.97316, -78.83206,
42.94325, -78.81340,
40.74553, -73.98750,
40.78030, -73.96222,
42.97318, -78.83206,
42.94326, -78.81338,
40.74554, -73.98747,
40.78029, -73.96225,
42.97320, -78.83206,
42.94327, -78.81342,
40.74556, -73.98748,
40.78029, -73.96227,
42.97322, -78.83207,
42.94325, -78.81341,
40.74559, -73.98750,
40.78029, -73.96230,
42.97323, -78.83209,
42.94327, -78.81339,
40.74560, -73.98751,
40.78030, -73.96232,
42.97321, -78.83208,
42.94327, -78.81341,
40.74562, -73.98752,
40.78030, -73.96236,
42.97319, -78.83209,
42.94328, -78.81339,
40.74564, -73.98759,
40.78028, -73.96236,
42.97321, -78.83210,
42.94326, -78.81340,
40.74475, -73.98952,
40.78026, -73.96238,
42.97320, -78.83208,
42.94323, -78.81340,
40.74496, -73.98911,
40.78025, -73.96239,
42.97318, -78.83208,
42.94322, -78.81342,
40.74516, -73.98874,
40.78022, -73.96240,
42.97323, -78.83207,
42.94320, -78.81340,
40.74530, -73.98847,
40.78020, -73.96241,
42.97320, -78.83207,
42.94322, -78.81342,
40.74541, -73.98834,
40.78018, -73.96242,
42.97321, -78.83210,
42.94324, -78.81340,
40.74549, -73.98825,
40.78016, -73.96244,
42.97323, -78.83208,
42.94325, -78.81341,
40.74557, -73.98816,
40.78017, -73.96248,
42.97324, -78.83207,
42.94324, -78.81340,
40.74563, -73.98809,
40.78017, -73.96251,
42.97321, -78.83207,
42.94322, -78.81338,
40.74567, -73.98804,
40.78018, -73.96255,
42.97323, -78.83204,
42.94322, -78.81341,
40.74570, -73.98802,
40.78018, -73.96257,
42.97325, -78.83204,
42.94325, -78.81340,
40.74571, -73.98800,
40.78018, -73.96260,
42.97325, -78.83202,
42.94326, -78.81342,
40.74573, -73.98798,
40.78019, -73.96263,
42.97327, -78.83203,
42.94328, -78.81339,
40.74575, -73.98796,
40.78019, -73.96266,
42.97325, -78.83205,
42.94329, -78.81338,
40.74576, -73.98794,
40.78019, -73.96269,
42.97323, -78.83208,
42.94328, -78.81340,
40.74580, -73.98795,
40.78022, -73.96276,
42.97325, -78.83206,
42.94329, -78.81342,
40.74475, -73.98953,
40.78023, -73.96268,
42.97326, -78.83204,
42.94326, -78.81342,
40.74500, -73.98920,
40.78024, -73.96263,
42.97328, -78.83206,
42.94327, -78.81339,
40.74519, -73.98894,
40.78027, -73.96265,
42.97327, -78.83209,
42.94329, -78.81341,
40.74534, -73.98875,
40.78029, -73.96268,
42.97326, -78.83207,
42.94327, -78.81340,
40.74546, -73.98859,
40.78032, -73.96271,
42.97324, -78.83207,
42.94327, -78.81343,
40.74555, -73.98848,
40.78034, -73.96276,
42.97322, -78.83205,
42.94325, -78.81343,
40.74561, -73.98838,
40.78037, -73.96282,
42.97320, -78.83205,
42.94323, -78.81341,
40.74567, -73.98831,
40.78040, -73.96286,
42.97321, -78.83202,
42.94322, -78.81342,
40.74571, -73.98825,
40.78041, -73.96288,
42.97324, -78.83202,
42.94325, -78.81340,
40.74574, -73.98821,
40.78042, -73.96291,
42.97322, -78.83202,
42.94324, -78.81343,
40.74586, -73.98806,
40.78043, -73.96293,
42.97324, -78.83202,
42.94325, -78.81340,
40.74475, -73.98954,
40.78045, -73.96295,
42.97319, -78.83206,
42.94327, -78.81339,
40.74583, -73.98816,
40.78047, -73.96295,
42.97321, -78.83207,
42.94325, -78.81340,
40.74475, -73.98954,
40.78049, -73.96293,
42.97319, -78.83207,
42.94324, -78.81342,
40.74583, -73.98816,
40.78050, -73.96291,
42.97322, -78.83207,
42.94322, -78.81342,
40.74583, -73.98816,
40.78054, -73.96290,
42.97323, -78.83208,
42.94326, -78.81343,
40.74583, -73.98816,
40.78081, -73.96242,
42.97325, -78.83207,
42.94324, -78.81344,
40.74583, -73.98816,
40.78095, -73.96238,
42.97323, -78.83207,
42.94325, -78.81342,
40.74583, -73.98816,
40.78092, -73.96234,
42.97321, -78.83206,
42.94323, -78.81342,
40.74583, -73.98816,
40.78047, -73.96284,
42.97319, -78.83205,
42.94321, -78.81344,
40.74583, -73.98816,
40.78047, -73.96280,
42.97318, -78.83208,
42.94319, -78.81343,
40.74570, -73.98831,
40.78047, -73.96276,
42.97318, -78.83212,
42.94321, -78.81343,
40.74570, -73.98831,
40.78049, -73.96272,
42.97319, -78.83216,
42.94325, -78.81344,
40.74570, -73.98831,
40.78050, -73.96270,
42.97319, -78.83212,
42.94323, -78.81342,
40.74570, -73.98831,
40.78065, -73.96259,
42.97319, -78.83209,
42.94322, -78.81341,
40.74556, -73.98844,
40.78095, -73.96241,
42.97320, -78.83208,
42.94322, -78.81343,
40.74556, -73.98844,
40.78095, -73.96241,
42.97323, -78.83207,
42.94321, -78.81345,
40.74556, -73.98844,
40.78093, -73.96247,
42.97325, -78.83207,
42.94322, -78.81342,
40.74556, -73.98844,
40.78048, -73.96276,
42.97327, -78.83205,
42.94326, -78.81342,
40.74556, -73.98844,
